i0,count,percent
9,1,0.04
11,1,0.04
14,1,0.04
15,2,0.08
16,2,0.08
17,3,0.12
18,2,0.08
19,3,0.12
20,1,0.04
21,7,0.28
22,8,0.32
23,13,0.52
24,11,0.44
25,10,0.40
26,19,0.75
27,19,0.75
28,21,0.83
29,26,1.03
30,29,1.15
31,40,1.59
32,36,1.43
33,60,2.38
34,62,2.46
35,60,2.38
36,82,3.25
37,73,2.90
38,93,3.69
39,83,3.29
40,86,3.41
41,126,5.00
42,116,4.60
43,143,5.67
44,144,5.71
45,140,5.56
46,143,5.67
47,158,6.27
48,176,6.98
49,172,6.83
50,181,7.18
51,167,6.63
